# data from Jarrett, "A note on the intervals between coal-mining disasters" (1979). 
# Intervals in days between explosions in mines, from 15 March 1851 to 22 March 1962. 
# (Data to be read down columns.)
157  65   53   93   127  176   22  1205  1643  312
123  186  17   24   218  55    61   644   54    536
2    23   538  91   2    93    78   467   326   145
124  92   187  143  0    59    99   871   1312  75
12   197  34   16   378  315   326  48    348   364
4    431  101  27   36   59    275  123   745   37
10   16   41   144  15   61    54   456   217   19
216  154  139  45   31   1     217  498   120   156
80   95   42   6    215  13    113  49    275   47
12   25   1    208  11   189   32   131   20    129
33   19   250  29   137  345   388  182   66    1630
66   78   80   112  4    20    151  255   292   29
232  202  3    43   15   81    361  194   4     217
826  36   324  193  72   286   312  224   368   7
40   110  56   134  96   114   354  566   307   18
12   276  31   420  124  108   307  462   336   1358
29   16   96   95   50   188   275  228   19    2366
190  88   70   125  120  233   78   806   329   952
97   225  41   34   203  28    17   517   330   632
